beer,brewery,percent,calories
American Amber Lager,Straub Brewery,4.1,136
American Lager,Straub Brewery,4.1,132
American Light,Straub Brewery,3.2,96
Anchor Porter,Anchor,5.6,209
Anchor Steam,Anchor,4.9,153
Anheuser Busch Natural Light,Anheuser Busch,4.2,95
Anheuser Busch Natural Ice,Anheuser Busch,5.9,157
Aspen Edge,Adolph Coors,4.1,94
Bard’s Gold (Gluten-Free),Bard’s Tale Beer Co,4.6,155
Big Sky I.P.A.,Big Sky Brewing,6.2,195
Big Sky Moose Drool Brown Ale,Big Sky Brewing,5.2,177
Big Sky Powder Hound (seasonal),Big Sky Brewing,6.2,195
Big Sky Scape Goat Pale Ale,Big Sky Brewing,4.7,163
Big Sky Summer Honey Ale (seasonal),Big Sky Brewing,4.7,154
Big Sky Trout Slayer Ale,Big Sky Brewing,4.7,163
Blatz Beer,Blatz,4.8,153
Blue Moon,Adolph Coors,5.4,171
Breckenridge Brown Ale,Breckenridge Brewery,5.6,196
Breckenridge Red Ale,Breckenridge Brewery,5.5,193
Bud Dry,Budweiser,5.0,130
Bud Ice,Budweiser,5.5,123
Bud Ice Light,Budweiser,5.0,115
Bud Light,Budweiser,4.2,110
Bud Light Lime,Budweiser,4.2,116
Bud Light Platinum,Budweiser,6.0,137
Budweiser,Budweiser,5.0,145
Budweiser Black Crown,Budweiser,6.0,146
Budweiser Select,Budweiser,4.3,99
Budweiser Select 55,Budweiser,2.4,55
Busch Beer,Anheuser Busch,4.6,133
Busch Ice,Anheuser Busch,5.9,169
Busch Light,Anheuser Busch,4.1,95
Carling Black Label,G. Heileman,4.3,138
Colt 45 Malt Liquor,G. Heileman,6.1,174
Coors,MillerCoors,4.9,149
Coors Light,MillerCoors,4.2,104
Deschutes Twilight Summer Ale,Deschutes Brewery,5.0,162
Deschutes Chainbreaker White IPA,Deschutes Brewery,5.6,180
Deschutes Pinedrops IPA,Deschutes Brewery,6.5,190
Extra Gold Lager,MillerCoors,5.0,152
Flying Dog Dog Schwarz,Flying Dog Brewery,7.8,222
Flying Dog Doggie Style,Flying Dog Brewery,4.7,158
Flying Dog DogtoberFest,Flying Dog Brewery,5.6,165
Flying Dog Double Dog,Flying Dog Brewery,11.5,313
Flying Dog Garde Dog,Flying Dog Brewery,5.5,150
Flying Dog Gonzo,Flying Dog Brewery,9.2,271
Flying Dog Horn Dog,Flying Dog Brewery,10.2,314
Flying Dog In Heat Wheat,Flying Dog Brewery,4.7,138
Flying Dog K-9 Cruiser,Flying Dog Brewery,7.4,197
Flying Dog Kerberos Tripel,Flying Dog Brewery,8.3,238
Flying Dog Old Scratch Amber Ale,Flying Dog Brewery,5.5,154
Flying Dog Raging Bitch,Flying Dog Brewery,8.3,221
Flying Dog Road Dog,Flying Dog Brewery,6.0,163
Flying Dog Snake Dog IPA,Flying Dog Brewery,7.1,188
Flying Dog Tire Bite Golden Ale,Flying Dog Brewery,5.1,129
Flying Dog Wild Dog: Coffee Stout,Flying Dog Brewery,9.9,288
Flying Dog Woody Creek White,Flying Dog Brewery,4.8,131
Genesee Beer,High Falls Brewing,4.5,148
Genesee Cream Ale,High Falls Brewing,5.1,162
Genesee Ice,High Falls Brewing,5.9,156
Genesee Red,High Falls Brewing,4.9,148
George Killian’s Irish Red,MillerCoors,5.0,162
Icehouse,MillerCoors,5.5,132
Icehouse 5.0,MillerCoors,5.5,149
Icehouse Light,MillerCoors,4.1,103
Hamm’s Beer,MillerCoors,4.7,144
Hamm’s Golden Draft,MillerCoors,4.7,144
Hamm’s Special Light,MillerCoors,3.9,110
Keystone Premium,Adolph Coors,4.4,111
Keystone Light,Adolph Coors,4.1,103
Keystone Ice,Adolph Coors,5.9,142
Leinenkugel Honey Weiss,Leinenkugel,4.9,149
Leinenkugel Northwoods Lager,Leinenkugel,4.9,163
Leinenkugel Original,Leinenkugel,4.7,152
Leinenkugel Creamy Dark,Leinenkugel,4.9,170
Leinenkugel Red,Leinenkugel,4.9,166
Leinenkugel Sunset Wheat,Leinenkugel,4.9,165
Leinenkugel Light,Leinenkugel,4.2,105
Leinenkugel Amber Light,Leinenkugel,4.1,110
Lowenbrau Dark,,5.0,160
Lowenbrau Special Beer,,5.2,160
Magnum Malt Liquor,MillerCoors,5.6,157
Michael Shea’s,High Falls Brewing,4.6,145
Michelob Amber Boch,Anheuser Busch,5.2,166
Michelob Beer,Anheuser Busch,5.0,155
Michelob Golden Draft,Anheuser Busch,4.7,152
Michelob Golden Draft Light,Anheuser Busch,4.1,110
Michelob Honey Lager,Anheuser Busch,4.9,175
Michelob Light,Anheuser Busch,4.3,113
Michelob Ultra,Anheuser Busch,4.1,95
Mickey’s Fine Malt Liquor,MillerCoors,5.6,157
Mickey’s Ice,MillerCoors,5.8,157
Miller Chill,MillerCoors,4.2,110
Miller Genuine Draft,MillerCoors,4.7,143
Miller Genuine Draft Light,MillerCoors,4.2,110
Miller Genuine Draft “64”,MillerCoors,2.8,64
Miller High Life,MillerCoors,4.7,143
Miller High Life Light,MillerCoors,4.2,110
Miller Lite,MillerCoors,4.2,96
Milwaukee’s Best,MillerCoors,4.3,128
Miller Lite Brewers Collection Amber,MillerCoors,4.2,110
Miller Lite Brewers Collection Blonde,MillerCoors,4.2,110
Miller Lite Brewers Collection Wheat,MillerCoors,4.2,110
Milwaukee’s Best Premium,MillerCoors,4.3,128
Milwaukee’s Best Light,MillerCoors,4.2,98
Milwaukee’s Best Ice,MillerCoors,5.9,144
New Belgium 1554,New Belgium,5.6,205
New Belgium 2 Below,New Belgium,6.6,200
New Belgium Abbey,New Belgium,7.0,200
New Belgium Blue Paddle,New Belgium,4.8,140
New Belgium Fat Tire,New Belgium,5.2,160
New Belgium Mothership Wit,New Belgium,4.8,155
New Belgium Trippel,New Belgium,7.8,215
New Belgium Sunshine Wheat,New Belgium,4.8,145
O’Doul’s,Anheuser Busch,0.4,70
Old Milwaukee Light,Old Milwaukee,3.8,114
Old Milwaukee Beer,Old Milwaukee,4.5,146
Olde English 800,MillerCoors,5.9,160
Olde English 800 7.5,MillerCoors,7.5,202
Olde English High Gravity 800,MillerCoors,8.0,220
Olympia Premium Lager,Pabst,4.7,146
Pabst Blue Ribbon,Pabst,4.7,144
Pabst Extra Light Low Alcohol,Pabst,2.5,67
Pete’s Wicked Ale,,5.3,174
Red Dog,MillerCoors,5.0,147
Red Hook ESB,Red Hook,5.8,179
Red Hook IPA,Red Hook,6.5,188
Rolling Rock Extra Pale,Latrobe,4.6,142
Rolling Rock Premium Beer,Latrobe,4.5,120
Sam Adams Boston Lager,Boston Beer,4.8,160
Sam Adams Boston Ale,Boston Beer,4.9,160
Sam Adams Cherry Wheat,Boston Beer,5.2,166
Sam Adams Cream Stout,Boston Beer,4.7,195
Sam Adams IPA,Boston Beer,5.9,175
Sam Adams Light,Boston Beer,4.1,119
Sam Adams Pale Ale,Boston Beer,5.3,145
Schaefer Beer,Pabst,4.6,142
Schlitz Beer,Pabst,4.7,146
Schlitz Light,Pabst,4.2,110
Schlitz Malt Liquor,Pabst,6.2,185
Sierra Nevada Anniversary Ale,Sierra Nevada,5.9,190
Sierra Nevada Bigfoot,Sierra Nevada,9.6,330
Sierra Nevada Celebration Ale,Sierra Nevada,6.8,214
Sierra Nevada Draft Ale,Sierra Nevada,5.0,157
Sierra Nevada Early Spring Beer,Sierra Nevada,5.9,190
Sierra Nevada Harvest Ale,Sierra Nevada,6.7,215
Sierra Nevada India Pale Ale,Sierra Nevada,6.9,231
Sierra Nevada Pale Ale,Sierra Nevada,5.6,175
Sierra Nevada Pale Bock,Sierra Nevada,7.0,218
Sierra Nevada Porter,Sierra Nevada,5.6,194
Sierra Nevada Stout,Sierra Nevada,5.8,225
Sierra Nevada Summerfest Beer,Sierra Nevada,5.0,158
Sierra Nevada Wheat Beer,Sierra Nevada,4.4,153
Signature Stroh Beer,Stroh’s,4.8,153
Southpaw Light,MillerCoors,5.0,123
Steel Reserve,MillerCoors,8.1,222
Steel Reserve Triple Export,MillerCoors,8.1,222
Steel Reserve Six,MillerCoors,6.0,160
Stroh’s Beer,Stroh’s,4.6,149
Stroh’s Light,Stroh’s,4.4,113
Summit Horizon Red IPA,Summit Brewing,5.7,195
Summit Summer Ale,Summit Brewing,4.5,147
Tuborg Deluxe Dark Export,G. Heileman,5.1,163
Tuborg Export Quality,G. Heileman,5.0,156
Weinhard’s Private Reserve,MillerCoors,4.8,150
Weinhard’s Amber Light,MillerCoors,4.2,135
Weinhard’s Hefeweizen,MillerCoors,4.9,151
Weinhard’s Blonde Lager,MillerCoors,5.1,161
Weinhard’s Pale Ale,MillerCoors,4.6,147
Yuengling Ale,D.G. Yuengilng,5.0,145
Yuengling Porter,D.G. Yuengilng,4.5,150
Yuengling Premium Beer,D.G. Yuengling,4.4,135
Yuengling Light,D.G. Yuengling,3.8,98
Yuengling Lager,D.G. Yuengling,4.4,135
